,List Sr. No.,Set No.,2020 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,Unnamed: 10,Unnamed: 11,Test caps,"ODI
caps","T20
caps",IPL,Previous IPLTeam(s),"2019
Team","2019
IPL",C/U/A,"Reserve
Price Rs Lakh",Surname.1
12,13,2,AL1,Chris,Morris,South Africa,CSA,1987-04-30,32,ALL-ROUNDER,RHB,RIGHT ARM Fast,4.0,42.0,23.0,61.0,"CSK,RR,  DD,DC",DC,9.0,Capped,150,Morris
13,14,2,AL1,Yusuf,Pathan,India,BCA,1982-11-17,37,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,57.0,22.0,174.0,"RR, KKR,  SRH",SRH,10.0,Capped,100,Pathan
14,15,2,AL1,Chris,Woakes,England,ECB,1989-03-02,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,31.0,99.0,8.0,18.0,"KKR, RCB",,,Capped,150,Woakes
15,16,3,WK1,Alex,Carey,Australia,CA,1991-08-27,28,WICKETKEEPER,LHB,-,,29.0,25.0,,,,,Capped,50,Carey
16,17,3,WK1,Shai,Hope,West Indies,CWI,1993-11-10,26,WICKETKEEPER,RHB,-,31.0,69.0,13.0,,,,,Capped,50,Hope
17,18,3,WK1,Heinrich,Klaasen,South Africa,CSA,1991-07-30,28,WICKETKEEPER,RHB,-,1.0,14.0,9.0,7.0,"RR, RCB",RCB,3.0,Capped,50,Klaasen
18,19,3,WK1,Naman,Ojha,India,MPCA,1983-07-20,36,WICKETKEEPER,RHB,-,1.0,1.0,2.0,113.0,"RR, SRH, DD",,,Capped,50,Ojha
19,20,3,WK1,Kusal,Perera,Sri Lanka,SLC,1990-08-17,29,WICKETKEEPER,LHB,-,18.0,98.0,42.0,2.0,RR,,,Capped,50,Perera
20,21,3,WK1,Mushfiqur,Rahim,Bangladesh,BAN,1987-06-09,32,WICKETKEEPER,RHB,-,69.0,216.0,84.0,,,,,Capped,75,Rahim
21,22,4,FA1,Sheldon,Cottrell,West Indies,CWI,1989-08-19,30,BOWLER,RHB,LEFT ARM Fast Medium,2.0,27.0,16.0,,,,,Capped,50,Cottrell
22,23,4,FA1,Nathan,Coulter-Nile,Australia,CA,1987-10-11,32,BOWLER,RHB,RIGHT ARM Fast Medium,,32.0,28.0,26.0,"MI, DD, KKR, RCB",RCB,0.0,Capped,100,Coulter-Nile
23,24,4,FA1,Mohit,Sharma,India,HCA,1988-09-18,31,BOWLER,RHB,RIGHT ARM Fast Medium,,26.0,8.0,85.0,"KXIP, CSK",CSK,1.0,Capped,50,Sharma
24,25,4,FA1,Tim,Southee,New Zealand,NZC,1988-12-11,31,BOWLER,RHB,RIGHT ARM Fast Medium,67.0,140.0,66.0,40.0,"CSK, MI, RR, RCB",RCB,3.0,Capped,100,Southee
25,26,4,FA1,Dale,Steyn,South Africa,CSA,1983-06-27,36,BOWLER,RHB,RIGHT ARM Fast,93.0,125.0,44.0,92.0,"DCH, SRH, GL, RCB",RCB,2.0,Capped,200,Steyn
26,27,4,FA1,Andrew,Tye,Australia,CA,1986-12-12,33,BOWLER,RHB,RIGHT ARM Fast Medium,,7.0,26.0,26.0,"GL, KXIP",KXIP,6.0,Capped,100,Tye
27,28,4,FA1,Jaydev,Unadkat,India,SCA,1991-10-18,28,BOWLER,RHB,LEFT ARM Medium Fast,1.0,7.0,10.0,73.0,"KKR, RCB, DD,RPS,RR",RR,11.0,Capped,100,Unadkat
28,29,5,SP1,Piyush,Chawla,India,GUCA,1988-12-24,31,BOWLER,LHB,RIGHT ARM Leg Break,3.0,25.0,7.0,157.0,"KXIP, KKR",KKR,13.0,Capped,100,Chawla
29,30,5,SP1,Zahir,Khan,Afghanistan,AFG,1998-12-20,21,BOWLER,LHB,LEFT ARM Slow Unorthodox,1.0,1.0,,0.0,RR,,,Capped,50,Khan
30,31,5,SP1,Ish,Sodhi,New Zealand,NZC,1992-10-31,27,BOWLER,RHB,RIGHT ARM Leg Break,17.0,31.0,40.0,8.0,RR,RR,2.0,Capped,75,Sodhi
31,32,5,SP1,Hayden,Walsh,West Indies,CWI,1992-04-23,27,BOWLER,LHB,RIGHT ARM Leg Break,,4.0,10.0,,,,,Capped,50,Walsh
32,33,5,SP1,Adam,Zampa,Australia,CA,1992-03-31,28,BOWLER,RHB,RIGHT ARM Leg Break,,48.0,27.0,11.0,RPS,,,Capped,150,Zampa
33,34,6,UBA1,Harpreet,Bhatia,India,CSCSCA,1991-08-11,28,BATSMAN,LHB,RIGHT ARM Medium,,,,4.0,"KKR, PWI, RCB",,,Uncapped,20,Bhatia
34,35,6,UBA1,Priyam,Garg,India,UPCA,2000-11-30,19,BATSMAN,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Garg
35,36,6,UBA1,Rohan,Kadam,India,KSCA,1994-07-05,25,BATSMAN,LHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Kadam
36,37,6,UBA1,Manjot,Kalra,India,DDCA,1999-01-15,21,BATSMAN,LHB,LEFT ARM Slow Orthodox,,,,0.0,DC,DC,0.0,Uncapped,20,Kalra
37,38,6,UBA1,Virat,Singh,India,JSCA,1997-12-08,22,BATSMAN,LHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Singh
38,39,6,UBA1,Rahul,Tripathi,India,MACA,1991-03-02,29,BATSMAN,RHB,RIGHT ARM Medium Fast,,,,34.0,"RPS, RR",RR,8.0,Uncapped,20,Tripathi
39,40,7,UAL1,Varun,Chakaravarthy,India,TNCA,1991-08-29,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,1.0,KXIP,KXIP,1.0,Uncapped,30,Chakaravarthy
40,41,7,UAL1,Pavan,Deshpande,India,KSCA,1989-09-16,30,ALL-ROUNDER,LHB,RIGHT ARM Off Break,,,,0.0,RCB,,,Uncapped,20,Deshpande
41,42,7,UAL1,Deepak,Hooda,India,BCA,1995-04-19,24,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,61.0,"RR, SRH",SRH,11.0,Uncapped,40,Hooda
42,43,7,UAL1,Yashasvi,Jaiswal,India,MCA,2001-12-28,18,ALL-ROUNDER,LHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Jaiswal
43,44,7,UAL1,Shahrukh,Khan,India,TNCA,1995-05-27,24,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Khan
44,45,7,UAL1,Daniel,Sams,Australia,CA,1992-10-27,27,ALL-ROUNDER,RHB,LEFT ARM Medium Fast,,,,,,,,Uncapped,20,Sams
45,46,8,UWK1,Ankush,Bains,India,HPCA,1995-12-16,24,WICKETKEEPER,RHB,-,,,,0.0,"RPS, DC",DC,0.0,Uncapped,20,Bains
46,47,8,UWK1,K.S,Bharat,India,ACA,1993-10-03,26,WICKETKEEPER,RHB,-,,,,0.0,DD,,,Uncapped,20,Bharat
47,48,8,UWK1,Kedar,Devdhar,India,BCA,1989-12-14,30,WICKETKEEPER,RHB,-,,,,1.0,DCH,,,Uncapped,20,Devdhar
48,49,8,UWK1,Anuj,Rawat,India,DDCA,1999-10-17,20,WICKETKEEPER,LHB,-,,,,,,,,Uncapped,20,Rawat
49,50,8,UWK1,Prabhsimran,Singh,India,PCA,2000-08-10,19,WICKETKEEPER,RHB,-,,,,1.0,KXIP,KXIP,1.0,Uncapped,20,Singh
50,51,8,UWK1,Vishnu,Vinod,India,KCA,1993-12-02,26,WICKETKEEPER,RHB,-,,,,3.0,RCB,,,Uncapped,20,Vinod
51,52,9,UFA1,Tushar,Deshpande,India,MCA,1995-05-15,24,BOWLER,LHB,RIGHT ARM Fast,,,,,,,,Uncapped,20,Deshpande
52,53,9,UFA1,Kulwant,Khejroliya,India,DDCA,1992-03-13,28,BOWLER,LHB,LEFT ARM Fast,,,,5.0,"MI, RCB",RCB,2.0,Uncapped,20,Khejroliya
53,54,9,UFA1,Riley,Meredith,Australia,CA,1996-06-21,23,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,40,Meredith
54,55,9,UFA1,Ishan,Porel,India,CAB,1998-09-05,21,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Porel
55,56,9,UFA1,Akash,Singh,India,RCA,2002-04-26,17,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20,Singh
56,57,9,UFA1,Kartik,Tyagi,India,UPCA,2000-11-08,19,BOWLER,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Tyagi
57,58,10,USP1,Noor,Ahmad,Afghanistan,AFG,2005-01-03,15,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,,,,,,Uncapped,30,Ahmad
58,59,10,USP1,Ravi,Bishnoi,India,RCA,2000-09-05,19,BOWLER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Bishnoi
59,60,10,USP1,K.C,Cariappa,India,KSCA,1994-04-13,25,BOWLER,RHB,RIGHT ARM Leg Break,,,,11.0,"KXIP, KKR",KKR,1.0,Uncapped,20,Cariappa
60,61,10,USP1,R,Sai Kishore,India,TNCA,1996-11-06,23,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Sai Kishore
61,62,10,USP1,M,Siddharth,India,TNCA,1998-07-03,21,BOWLER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Siddharth
62,63,10,USP1,Midhun,Sudhesan,India,KCA,1994-10-07,25,BOWLER,RHB,RIGHT ARM Leg Break,,,,1.0,,RR,1.0,Uncapped,20,Sudhesan
63,64,11,BA2,Martin,Guptill,New Zealand,NZC,1986-09-30,33,BATSMAN,RHB,-,47.0,179.0,83.0,13.0,"MI, KXIP, SRH",SRH,3.0,Capped,100,Guptill
64,65,11,BA2,Shimron,Hetmyer,West Indies,CWI,1996-12-26,23,BATSMAN,LHB,RIGHT ARM Leg Break,15.0,40.0,17.0,5.0,RCB,RCB,5.0,Capped,50,Hetmyer
65,66,11,BA2,Colin,Ingram,South Africa,CSA,1985-07-03,34,BATSMAN,LHB,RIGHT ARM Leg Break,,31.0,9.0,15.0,"DD, DC",DC,12.0,Capped,50,Ingram
66,67,11,BA2,Evin,Lewis,West Indies,CWI,1991-12-27,28,BATSMAN,LHB,-,,46.0,26.0,16.0,MI,MI,3.0,Capped,100,Lewis
67,68,11,BA2,David,Miller,South Africa,CSA,1989-06-10,30,BATSMAN,LHB,-,,126.0,72.0,79.0,KXIP,KXIP,10.0,Capped,75,Miller
68,69,11,BA2,Saurabh,Tiwary,India,JSCA,1989-12-30,30,BATSMAN,LHB,RIGHT ARM Off Break,,3.0,,81.0,"RCB, DD, RPS, MI",,,Capped,50,Tiwary
69,70,11,BA2,Manoj,Tiwary,India,CAB,1985-11-14,34,BATSMAN,RHB,RIGHT ARM Leg Break,,12.0,3.0,98.0,"DD, KKR, RPS, KXIP",,,Capped,50,Tiwary
70,71,12,AL2,Carlos,Brathwaite,West Indies,CWI,1988-07-18,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,3.0,44.0,41.0,16.0,"DD, SRH, KKR",KKR,2.0,Capped,50,Brathwaite
71,72,12,AL2,Ben,Cutting,Australia,CA,1987-01-30,33,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,4.0,7.0,21.0,"RR, SRH, MI",MI,3.0,Capped,75,Cutting
72,73,12,AL2,Rishi,Dhawan,India,HPCA,1990-02-19,30,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,3.0,1.0,26.0,"MI, KXIP, KKR",,,Capped,50,Dhawan
73,74,12,AL2,Mitchell,Marsh,Australia,CA,1991-10-20,28,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,32.0,53.0,11.0,20.0,"DCH, PWI, RPS",,,Capped,200,Marsh
74,75,12,AL2,Colin,Munro,New Zealand,NZC,1987-03-11,33,ALL-ROUNDER,LHB,RIGHT ARM Medium,1.0,57.0,60.0,13.0,"KKR, DC",DC,4.0,Capped,100,Munro
75,76,12,AL2,James,Neesham,New Zealand,NZC,1990-09-17,29,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,12.0,59.0,18.0,4.0,DD,,,Capped,50,Neesham
76,77,12,AL2,Andile,Phehlukwayo,South Africa,CSA,1996-03-03,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,4.0,52.0,23.0,,,,,Capped,50,Phehlukwayo
77,78,12,AL2,Marcus,Stoinis,Australia,CA,1989-08-16,30,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,41.0,19.0,29.0,"KXIP, RCB",RCB,10.0,Capped,100,Stoinis
78,79,13,FA2,Josh,Hazlewood,Australia,CA,1991-01-08,29,BOWLER,LHB,RIGHT ARM Fast,49.0,44.0,7.0,,,,,Capped,200,Hazlewood
79,80,13,FA2,Alzarri,Joseph,West Indies,CWI,1996-11-20,23,BOWLER,RHB,RIGHT ARM Fast,9.0,19.0,,3.0,MI,MI,3.0,Capped,50,Joseph
80,81,13,FA2,Adam,Milne,New Zealand,NZC,1992-04-13,27,BOWLER,RHB,RIGHT ARM Fast,,40.0,21.0,5.0,"RCB, MI",MI,0.0,Capped,50,Milne
81,82,13,FA2,Anrich,Nortje,South Africa,CSA,1993-11-16,26,BOWLER,RHB,RIGHT ARM Fast,2.0,4.0,1.0,0.0,,KKR,0.0,Capped,50,Nortje
82,83,13,FA2,Mustafizur,Rahman,Bangladesh,BAN,1995-09-06,24,BOWLER,LHB,LEFT ARM Fast Medium,13.0,56.0,37.0,24.0,"SRH, MI",,,Capped,100,Rahman
83,84,13,FA2,Barinder,Sran,India,UTCA,1992-12-10,27,BOWLER,LHB,LEFT ARM Fast Medium,,6.0,2.0,24.0,"RR, SRH, KXIP, MI",MI,2.0,Capped,50,Sran
84,85,13,FA2,Mark,Wood,England,ECB,1990-01-11,30,BOWLER,RHB,RIGHT ARM Fast Medium,13.0,51.0,5.0,1.0,CSK,,,Capped,50,Wood
85,86,14,UBA2,Shivam,Chauhan,India,HCA,1997-10-14,22,BATSMAN,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20,Chauhan
86,87,14,UBA2,Abhimanyu,Easwaran,India,CAB,1995-09-06,24,BATSMAN,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Easwaran
87,88,14,UBA2,Laurie,Evans,England,ECB,1987-10-12,32,BATSMAN,RHB,-,,,,,,,,Uncapped,40,Evans
88,89,14,UBA2,Naushad,Shaikh,India,MACA,1991-10-15,28,BATSMAN,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Shaikh
89,90,14,UBA2,Pratham,Singh,India,RSPB,1992-08-31,27,BATSMAN,LHB,RIGHT ARM Off Break,,,,0.0,GL,,,Uncapped,20,Singh
90,91,14,UBA2,Himmat,Singh,India,DDCA,1996-11-08,23,BATSMAN,RHB,RIGHT ARM Off Break,,,,0.0,RCB,RCB,0.0,Uncapped,20,Singh
91,92,15,UAL2,Ayush,Badoni,India,DDCA,1999-12-03,20,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Badoni
92,93,15,UAL2,Sandeep,Bavanaka,India,HYCA,1992-04-25,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Bavanaka
93,94,15,UAL2,Pravin,Dubey,India,KSCA,1993-07-01,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,0.0,RCB,,,Uncapped,20,Dubey
94,95,15,UAL2,Chris,Green,Australia,CA,1993-10-01,26,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Green
95,96,15,UAL2,Shubhang,Hegde,India,KSCA,2001-03-30,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Hegde
96,97,15,UAL2,Shams,Mulani,India,MCA,1997-03-13,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Mulani
97,98,15,UAL2,Shubham,Ranjane,India,MCA,1994-03-26,26,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,,,0.0,RR,RR,0.0,Uncapped,20,Ranjane
98,99,15,UAL2,Dhruv,Shorey,India,DDCA,1992-06-06,27,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,2.0,CSK,CSK,1.0,Uncapped,20,Shorey
99,100,15,UAL2,Swapnil,Singh,India,BCA,1991-01-22,29,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,5.0,"MI, KXIP",,,Uncapped,20,Singh
100,101,15,UAL2,Lalit,Yadav,India,DDCA,1997-01-03,23,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Yadav
101,102,16,UWK2,Shahbaz,Ahamad,India,CAB,1994-12-11,25,WICKETKEEPER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Ahamad
102,103,16,UWK2,Sheldon,Jackson,India,SCA,1986-09-27,33,WICKETKEEPER,RHB,-,,,,4.0,KKR,,,Uncapped,20,Jackson
103,104,16,UWK2,Arun,Karthick,India,CAP,1986-02-15,34,WICKETKEEPER,RHB,RIGHT ARM Leg Break,,,,17.0,"CSK, RCB",,,Uncapped,20,Karthick
104,105,16,UWK2,Nikhil,Naik,India,MACA,1994-11-09,25,WICKETKEEPER,RHB,-,,,,3.0,"KXIP, KKR",KKR,1.0,Uncapped,20,Naik
105,106,16,UWK2,Agniv,Pan,India,CAB,1997-01-01,23,WICKETKEEPER,LHB,-,,,,,,,,Uncapped,20,Pan
106,107,16,UWK2,Joshua,Philippe,Australia,CA,1997-06-01,22,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20,Philippe
107,108,16,UWK2,Luvnith,Sisodia,India,KSCA,2000-01-15,20,WICKETKEEPER,LHB,-,,,,,,,,Uncapped,20,Sisodia
108,109,16,UWK2,Upendra Singh,Yadav,India,UPCA,1996-10-08,23,WICKETKEEPER,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Yadav
109,110,17,UFA2,Ben,Dwarshuis,Australia,CA,1994-06-23,25,BOWLER,LHB,LEFT ARM Fast Medium,,,,0.0,KXIP,,,Uncapped,40,Dwarshuis
110,111,17,UFA2,Ali,Khan,United States of America,USA,1990-12-13,29,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Associate,20,Khan
111,112,17,UFA2,Mohsin,Khan,India,UPCA,1998-07-15,21,BOWLER,LHB,LEFT ARM Fast Medium,,,,0.0,MI,,,Uncapped,20,Khan
112,113,17,UFA2,Lukman Hussain,Meriwala,India,BCA,1991-12-11,28,BOWLER,LHB,LEFT ARM Medium Fast,,,,,,,,Uncapped,20,Meriwala
113,114,17,UFA2,Rahul,Shukla,India,JSCA,1990-08-28,29,BOWLER,RHB,RIGHT ARM Fast,,,,7.0,"MI, RR, DD",,,Uncapped,20,Shukla
114,115,17,UFA2,Gourav,Yadav,India,MPCA,1991-10-31,28,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20,Yadav
115,116,18,USP2,Zeeshan,Ansari,India,UPCA,1999-12-16,20,BOWLER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Ansari
116,117,18,USP2,Satyajeet,Bachhav,India,MACA,1992-11-28,27,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Bachhav
117,118,18,USP2,Tejas,Baroka,India,DDCA,1996-02-01,24,BOWLER,RHB,RIGHT ARM Leg Break,,,,1.0,GL,,,Uncapped,20,Baroka
118,119,18,USP2,Shivil,Kaushik,India,KSCA,1995-09-07,24,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,,7.0,GL,,,Uncapped,20,Kaushik
119,120,18,USP2,Pradeep,Sahu,India,MCA,1985-08-21,34,BOWLER,RHB,RIGHT ARM Leg Break,,,,5.0,"RR, KXIP",,,Uncapped,20,Sahu
120,121,18,USP2,Karanveer,Singh,India,UTCA,1987-11-08,32,BOWLER,RHB,RIGHT ARM Leg Break,,,,9.0,KXIP,,,Uncapped,20,Singh
121,122,19,BA3,Tom,Banton,England,ECB,1998-11-11,21,BATSMAN,RHB,-,,,3.0,,,,,Capped,100,Banton
122,123,19,BA3,Alex,Hales,England,ECB,1989-01-03,31,BATSMAN,RHB,-,11.0,70.0,60.0,6.0,"MI, SRH",,,Capped,100,Hales
123,124,19,BA3,Janneman,Malan,South Africa,CSA,1996-04-18,23,BATSMAN,RHB,-,,,2.0,,,,,Capped,50,Malan
124,125,19,BA3,Aiden,Markram,South Africa,CSA,1994-10-04,25,BATSMAN,RHB,RIGHT ARM Off Break,19.0,26.0,2.0,,,,,Capped,50,Markram
125,126,19,BA3,Shaun,Marsh,Australia,CA,1983-07-09,36,BATSMAN,LHB,LEFT ARM Slow Orthodox,38.0,73.0,15.0,71.0,KXIP,,,Capped,150,Marsh
126,127,19,BA3,Rilee,Rossouw,South Africa,CSA,1989-10-09,30,BATSMAN,LHB,RIGHT ARM Off Break,,36.0,15.0,5.0,RCB,,,Capped,100,Rossouw
127,128,20,AL3,Fabian,Allen,West Indies,CWI,1995-05-07,24,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,12.0,11.0,,,,,Capped,50,Allen
128,129,20,AL3,Corey,Anderson,New Zealand,NZC,1990-12-13,29,ALL-ROUNDER,LHB,LEFT ARM Medium,13.0,49.0,31.0,30.0,"MI,DD, RCB",,,Capped,75,Anderson
129,130,20,AL3,Tom,Curran,England,ECB,1995-03-12,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2.0,17.0,15.0,5.0,KKR,,,Capped,100,Curran
130,131,20,AL3,Jason,Holder,West Indies,CWI,1991-11-05,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,39.0,109.0,14.0,11.0,"CSK, SRH, KKR",,,Capped,75,Holder
131,132,20,AL3,Chris,Jordan,England,ECB,1988-10-04,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,8.0,31.0,43.0,11.0,"RCB, SRH",,,Capped,75,Jordan
132,133,20,AL3,Daryl,Mitchell,New Zealand,NZC,1991-05-20,28,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,,9.0,,,,,Capped,50,Mitchell
133,134,20,AL3,Rovman,Powell,West Indies,CWI,1993-07-23,26,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,34.0,23.0,0.0,KKR,,,Capped,50,Powell
134,135,20,AL3,Isuru,Udana,Sri Lanka,SLC,1988-02-17,32,ALL-ROUNDER,RHB,LEFT ARM Medium Fast,15.0,27.0,89.0,,,,,Capped,50,Udana
135,136,20,AL3,David,Willey,England,ECB,1990-02-28,30,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,,46.0,28.0,3.0,CSK,CSK,0.0,Capped,150,Willey
136,137,21,WK2,Ben,Dunk,Australia,CA,1987-03-11,33,WICKETKEEPER,LHB,RIGHT ARM Off Break,,,5.0,3.0,MI,,,Capped,50,Dunk
137,138,21,WK2,Tom,Latham,New Zealand,NZC,1992-04-02,28,WICKETKEEPER,LHB,-,46.0,95.0,13.0,,,,,Capped,50,Latham
138,139,21,WK2,Ben,McDermott,Australia,CA,1994-12-12,25,WICKETKEEPER,RHB,-,,,12.0,,,,,Capped,50,McDermott
139,140,21,WK2,Glenn,Phillips,New Zealand,NZC,1996-12-06,23,WICKETKEEPER,RHB,RIGHT ARM Off Break,,,11.0,,,,,Capped,50,Phillips
140,141,21,WK2,Tim,Seifert,New Zealand,NZC,1994-12-14,25,WICKETKEEPER,RHB,-,,3.0,19.0,,,,,Capped,50,Seifert
141,142,21,WK2,Mohammad,Shahzad,Afghanistan,AFG,1987-06-10,32,WICKETKEEPER,RHB,-,2.0,84.0,65.0,,,,,Capped,50,Shahzad
142,143,22,FA3,Sean,Abbott,Australia,CA,1992-02-29,28,BOWLER,RHB,RIGHT ARM Fast Medium,,1.0,4.0,2.0,RCB,,,Capped,75,Abbott
143,144,22,FA3,Pat,Brown,England,ECB,1998-08-23,21,BOWLER,RHB,RIGHT ARM Medium Fast,,,4.0,,,,,Capped,50,Brown
144,145,22,FA3,Beuran,Hendricks,South Africa,CSA,1990-06-08,29,BOWLER,LHB,LEFT ARM Fast Medium,,4.0,11.0,7.0,KXIP,MI,0.0,Capped,50,Hendricks
145,146,22,FA3,Matt,Henry,New Zealand,NZC,1991-12-14,28,BOWLER,RHB,RIGHT ARM Fast Medium,10.0,52.0,6.0,2.0,KXIP,,,Capped,50,Henry
146,147,22,FA3,Kane,Richardson,Australia,CA,1991-02-12,29,BOWLER,RHB,RIGHT ARM Fast Medium,,22.0,15.0,14.0,"PWI, RR, RCB",,,Capped,150,Richardson
147,148,22,FA3,Oshane,Thomas,West Indies,CWI,1997-02-18,23,BOWLER,LHB,RIGHT ARM Fast,,19.0,10.0,4.0,RR,RR,4.0,Capped,50,Thomas
148,149,22,FA3,Naveen,Ul Haq,Afghanistan,AFG,1999-09-23,20,BOWLER,RHB,RIGHT ARM Fast Medium,,4.0,4.0,,,,,Capped,50,Ul Haq
